gene_id	n_exons	b	abs_b	type
STRG.11520	19	-0.604055788	0.604055788	mero
STRG.11520	19	-0.4927663	0.4927663	holo
STRG.11523	22	-2.798310032	2.798310032	mero
STRG.11523	22	-1.037398446	1.037398446	holo
STRG.11523	22	-0.858259575	0.858259575	para
STRG.11523	22	0.614974881	0.614974881	holo
STRG.11526	13	0.400071551	0.400071551	holo
STRG.11531	24	-5.668024007	5.668024007	mero
STRG.11531	24	1.133053404	1.133053404	para
STRG.11531	24	2.114451101	2.114451101	holo
STRG.11539	19	-3.877997911	3.877997911	para
STRG.11539	19	-1.505298013	1.505298013	para
STRG.11539	19	-0.848354385	0.848354385	para
STRG.11539	19	0.737394348	0.737394348	holo
STRG.11539	19	1.127762171	1.127762171	holo
STRG.11545	3	-3.818146912	3.818146912	para
STRG.11545	3	2.39424567	2.39424567	holo
STRG.11563	26	-2.569200351	2.569200351	holo
STRG.11563	26	-2.076051367	2.076051367	holo
STRG.11563	26	-1.084862585	1.084862585	para
STRG.11563	26	-0.349228163	0.349228163	para
STRG.11568	12	-0.770240875	0.770240875	para
STRG.11582	27	-1.351445925	1.351445925	para
STRG.11582	27	-1.148322236	1.148322236	para
STRG.11582	27	-1.028153116	1.028153116	para
STRG.11582	27	0.927381785	0.927381785	holo
STRG.1159	10	-1.884350597	1.884350597	holo
STRG.1159	10	-0.664184758	0.664184758	para
STRG.11593	18	-2.569200351	2.569200351	holo
STRG.11593	18	-2.076051367	2.076051367	holo
STRG.11622	14	-0.808749064	0.808749064	holo
